"","Paises/Entidades","Tipo de conflicto","Numero del proceso","Nombre del proceso","Region","Id del acuerdo","Nombre del acuerdo","Fecha","Definicion y estado","Tipo de conflicto2","Fase del acuerdo","Grupo infancia","Grupo discapacitados","Grupo ancianos","Grupo migrantes","Grupo racial","Grupo religion","Grupo indigenas","Grupo otros","Grupo refugiados","Grupo social","Estado - autodeterminacion","Estado - referendum","Estado - secesion","Estado - unificacion","Estado - fronteras","Constitucion reforma o creacion","Elecciones","Reparto de territorios","Reparto economico","Reparto militar","Igualdad de genero","Democracia","Derechos civiles","Derechos socioeconomicos","Desarrollo","Medio ambiente","Seguridad","Alto el fuego","Corrupcion","Crimer organizado","Terrorismo","Justicia","Grupo infancia bin","Grupo discapacitados bin","Grupo ancianos bin","Grupo migrantes bin","Grupo racial bin","Grupo religion bin","Grupo indigenas bin","Grupo otros bin","Grupo refugiados bin","Grupo social bin","Constitucion reforma o creacion bin","Elecciones bin","Reparto de territorios bin","Reparto economico bin","Reparto militar bin","Igualdad de genero bin","Democracia bin","Desarrollo bin","Alto el fuego bin","Corrupcion bin","Crimer organizado bin","Justicia bin","PAISES"
"1","Afghanistan","Government/territory",2,"Afghanistan: 2000s Post-intervention process","Europe and Eurasia",2232,"Resolution of Intra Afghan Peace Conference in Doha, Qatar (Doha Roadmap for Peace)",2019-07-08,"Multiparty signed/agreed","Intra","Pre",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0",0,0,0,0,0,0,0,"1","1",0,"0","1",0,0,0,"0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","AFG"
"2","Afghanistan","Government",2,"Afghanistan: 2000s Post-intervention process","Europe and Eurasia",1739,"Agreement between the Islamic Republic of Afghanistan and Hizb-e-Islami",2016-09-22,"Multiparty signed/agreed","Intra","SubPar",0,0,0,0,1,0,0,0,2,0,"0","0","0","0","0",0,1,0,0,0,1,0,"0","0",0,"0","0",1,0,0,"1",0,"0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","AFG"
"3","Afghanistan","Government",2,"Afghanistan: 2000s Post-intervention process","Europe and Eurasia",1923,"Agreement between the two campaign teams regarding the structure of the national unity government",2014-09-21,"Multiparty signed/agreed","Intra","Imp",2,2,0,0,0,0,0,0,0,0,"0","0","0","0","0",1,1,0,0,0,0,0,"0","0",0,"0","0",0,1,0,"0",0,"1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","AFG"
"4","Afghanistan","Government",2,"Afghanistan: 2000s Post-intervention process","Europe and Eurasia",864,"Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference)",2012-07-08,"Multiparty signed/agreed","InterIntra","Imp",1,0,0,0,0,0,0,0,1,0,"0","0","0","0","0",0,2,0,0,0,1,2,"0","0",1,"1","1",0,2,2,"1",0,"1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","1","0","1","1","0","AFG"
"5","Afghanistan","Government",2,"Afghanistan: 2000s Post-intervention process","Europe and Eurasia",848,"Conclusions of the Conference on Afghanistan and the International Community: From Transition to the Transformation Decade (Bonn Conference)",2011-12-05,"Multiparty signed/agreed","InterIntra","Pre",1,0,0,0,0,0,0,0,1,0,"0","0","0","0","0",0,0,0,0,0,1,2,"0","0",2,"1","1",0,1,0,"1",0,"1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","1","0","0","AFG"
"6","Afghanistan","Government",2,"Afghanistan: 2000s Post-intervention process","Europe and Eurasia",849,"Istanbul Process on Regional Security and Cooperation for a Secure and Stable Afghanistan",2011-11-02,"Multiparty signed/agreed","InterIntra","Imp",0,0,0,0,0,0,0,0,1,0,"0","0","0","0","0",0,0,0,0,0,0,1,"0","0",1,"1","1",0,2,0,"1",0,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1","0","0","AFG"
"7","Afghanistan","Government",2,"Afghanistan: 2000s Post-intervention process","Europe and Eurasia",709,"Renewed Commitment by the Afghan Government to the Afghan People and the International Community to Afghanistan (Kabul Conference Communique)",2010-07-22,"Multiparty signed/agreed","InterIntra","Imp",2,0,0,0,0,0,0,0,1,0,"0","0","0","0","0",0,1,0,0,0,1,0,"0","0",1,"0","1",0,2,2,"1",0,"1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","1","1","0","AFG"
"8","Afghanistan","Government",2,"Afghanistan: 2000s Post-intervention process","Europe and Eurasia",708,"The Resolution Adopted at the Conclusion of the National Consultative Peace Jirga",2010-06-06,"Multiparty signed/agreed","Intra","Pre",1,0,0,0,0,2,0,0,1,0,"0","0","0","0","0",0,0,0,0,0,1,0,"0","0",1,"0","1",0,1,0,"1",0,"1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","AFG"
"9","Afghanistan","Government",2,"Afghanistan: 2000s Post-intervention process","Europe and Eurasia",707,"Communiqué of the Conference on Afghan Leadership, Regional Cooperation, International Partnership (London Conference Communique)",2010-01-28,"Multiparty signed/agreed","InterIntra","Imp",0,0,0,0,0,0,0,0,1,0,"0","0","0","0","0",0,1,0,0,0,1,1,"0","0",1,"1","1",0,2,2,"1",0,"0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","1","0","1","1","0","AFG"
"10","Afghanistan","Government",2,"Afghanistan: 2000s Post-intervention process","Europe and Eurasia",706,"Statement of the International Conference on Afghanistan (Hague Conference)",2009-03-31,"Multiparty signed/agreed","InterIntra","SubPar",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0",0,1,0,0,0,0,1,"0","0",1,"0","1",0,0,1,"1",0,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","0","AFG"
