"","lista_paises","lista_paises_siglas","Paises_relacionados"
"1","Aruba","ABW",NA
"2","Afghanistan","AFG","PAK"
"3","Angola","AGO","BDI CAF COD COG KEN RWA SDN TZA UGA ZMB ZAF SSD"
"4","Anguilla","AIA",NA
"5","Albania","ALB",NA
"6","Andorra","AND",NA
"7","United Arab Emirates","ARE",NA
"8","Argentina","ARG","GBR"
"9","Armenia","ARM","AZE RUS"
"10","American Samoa","ASM",NA
"11","Antarctica","ATA",NA
"12","French Southern Territories","ATF",NA
"13","Antigua and Barbuda","ATG",NA
"14","Australia","AUS",NA
"15","Austria","AUT",NA
"16","Azerbaijan","AZE","ARM RUS"
"17","Burundi","BDI","AGO CAF COD COG KEN RWA SDN TZA UGA ZMB ZAF SSD"
"18","Belgium","BEL",NA
"19","Benin","BEN",NA
"20","Burkina Faso","BFA",NA
"21","Bangladesh","BGD",NA
"22","Bulgaria","BGR",NA
"23","Bahrain","BHR",NA
"24","Bahamas","BHS",NA
"25","Bosnia and Herzegovina","BIH",NA
"26","Saint Bartholemy","BLM",NA
"27","Belarus","BLR",NA
"28","Belize","BLZ",NA
"29","Bermuda","BMU",NA
"30","Bolivia","BOL",NA
"31","Brazil","BRA",NA
"32","Barbados","BRB",NA
"33","Brunei Darussalam","BRN",NA
"34","Bhutan","BTN",NA
"35","Bouvet Island","BVT",NA
"36","Botswana","BWA",NA
"37","Central African Republic","CAF","AGO BDI COD COG KEN RWA SDN TZA UGA ZMB ZAF SSD TCD"
"38","Canada","CAN",NA
"39","Cocos (Keeling) Islands","CCK",NA
"40","Switzerland","CHE",NA
"41","Chile","CHL",NA
"42","China","CHN","IND JPN KOR PRK RUS USA KAZ KGZ TJK MNG"
"43","Cote d'Ivoire","CIV",NA
"44","Cameroon","CMR","NGA"
"45","Democratic Republic of Congo","COD","AGO BDI CAF COG KEN RWA SDN TZA UGA ZMB ZAF SSD"
"46","Republic of Congo","COG","AGO BDI CAF COD KEN RWA SDN TZA UGA ZMB ZAF SSD"
"47","Cook Islands","COK",NA
"48","Colombia","COL","VEN"
"49","Comoros","COM",NA
"50","Cape Verde","CPV",NA
"51","Costa Rica","CRI","GTM HND NIC SLV"
"52","Cuba","CUB",NA
"53","Christmas Island","CXR",NA
"54","Cayman Islands","CYM",NA
"55","Cyprus","CYP",NA
"56","Czech Republic","CZE",NA
"57","Germany","DEU","FRA GBR RUS USA"
"58","Djibouti","DJI","ERI"
"59","Dominica","DMA",NA
"60","Denmark","DNK",NA
"61","Dominican Republic","DOM",NA
"62","Algeria","DZA",NA
"63","Ecuador","ECU","PER"
"64","Egypt","EGY",NA
"65","Eritrea","ERI","DJI ETH SOM SDN"
"66","Western Sahara","ESH","MAR"
"67","Spain","ESP",NA
"68","Estonia","EST",NA
"69","Ethiopia","ETH","ERI SOM KEN"
"70","Finland","FIN",NA
"71","Fiji","FJI",NA
"72","Falkland Islands (Malvinas)","FLK",NA
"73","France","FRA","DEU GBR RUS USA"
"74","Faroe Islands","FRO",NA
"75","Micronesia, Federated States of","FSM",NA
"76","Gabon","GAB",NA
"77","United Kingdom","GBR","ARG DEU FRA RUS USA IRL"
"78","Georgia","GEO","RUS"
"79","Guernsey","GGY",NA
"80","Ghana","GHA",NA
"81","Gibraltar","GIB",NA
"82","Guinea","GIN",NA
"83","Guadeloupe","GLP",NA
"84","Gambia","GMB",NA
"85","Guinea-Bissau","GNB",NA
"86","Equatorial Guinea","GNQ",NA
"87","Greece","GRC",NA
"88","Grenada","GRD",NA
"89","Greenland","GRL",NA
"90","Guatemala","GTM","CRI HND NIC SLV"
"91","French Guiana","GUF",NA
"92","Guam","GUM",NA
"93","Guyana","GUY",NA
"94","Hong Kong","HKG",NA
"95","Heard Island and McDonald Islands","HMD",NA
"96","Honduras","HND","CRI GTM NIC SLV"
"97","Croatia","HRV","SVN"
"98","Haiti","HTI",NA
"99","Hungary","HUN",NA
"100","Indonesia","IDN","PRT TLS"
"101","Isle of Man","IMN",NA
"102","India","IND","CHN PAK"
"103","British Indian Ocean Territory","IOT",NA
"104","Ireland","IRL","GBR"
"105","Iran","IRN",NA
"106","Iraq","IRQ","KWT USA"
"107","Iceland","ISL",NA
"108","Israel","ISR","JOR PSE LBN"
"109","Italy","ITA",NA
"110","Jamaica","JAM",NA
"111","Jersey","JEY",NA
"112","Jordan","JOR","ISR PSE"
"113","Japan","JPN","CHN KOR PRK RUS USA"
"114","Kazakhstan","KAZ","CHN KGZ RUS TJK"
"115","Kenya","KEN","AGO BDI CAF COD COG RWA SDN TZA UGA ZMB ETH"
"116","Kyrgyzstan","KGZ","CHN KAZ RUS TJK"
"117","Cambodia","KHM",NA
"118","Kiribati","KIR",NA
"119","Saint Kitts and Nevis","KNA",NA
"120","South Korea","KOR","CHN JPN PRK RUS USA"
"121","Kuwait","KWT","IRQ"
"122","Lao People's Democratic Republic","LAO",NA
"123","Lebanon","LBN","ISR SYR"
"124","Liberia","LBR",NA
"125","Libya","LBY","TCD"
"126","Saint Lucia","LCA",NA
"127","Liechtenstein","LIE",NA
"128","Sri Lanka","LKA",NA
"129","Lesotho","LSO",NA
"130","Lithuania","LTU",NA
"131","Luxembourg","LUX",NA
"132","Latvia","LVA",NA
"133","Macao","MAC",NA
"134","Saint Martin (French part)","MAF",NA
"135","Morocco","MAR","ESH"
"136","Monaco","MCO",NA
"137","Moldova","MDA","RUS"
"138","Madagascar","MDG",NA
"139","Maldives","MDV",NA
"140","Mexico","MEX",NA
"141","Marshall Islands","MHL",NA
"142","Macedonia","MKD",NA
"143","Mali","MLI","NER"
"144","Malta","MLT",NA
"145","Myanmar","MMR",NA
"146","Montenegro","MNE",NA
"147","Mongolia","MNG","CHN RUS"
"148","Northern Mariana Islands","MNP",NA
"149","Mozambique","MOZ",NA
"150","Mauritania","MRT",NA
"151","Montserrat","MSR",NA
"152","Martinique","MTQ",NA
"153","Mauritius","MUS",NA
"154","Malawi","MWI",NA
"155","Malaysia","MYS",NA
"156","Mayotte","MYT",NA
"157","Namibia","NAM","ZAF"
"158","New Caledonia","NCL",NA
"159","Niger","NER","MLI"
"160","Norfolk Island","NFK",NA
